circumstances	s'3:k@mst,ansI2z
circus	s'3:k@s
cities	s'Itiz
citizen	s'ItIz@n
citrus	s'Itr@s
city	s'Iti
citytown	s'Itit,aUn
ciudad	s'Iju:d,ad
civic	s'IvIk
civicr	s'IvIk3
civics	s'IvIks
civil	s'Iv@L
cj	s,i:dZ'eI
ckan	s'i:k'an
ckant	s'i:k'aant
ckuss	s'i:k'Vs
ckute	s'i:kj'u:t
claim	kl'eIm
claimed	kl'eImd
clamberme	kl'amb3m
clap	kl'ap
clarissa	klar'Is@
clarissas	klar'Is@z
clarkson	kl'A@ks@n
clas	kl'A:z
clash	kl'aS
clashing	kl'aSIN
class	kl'aas
classbut	kl'aasbVt
classes	kl'aasI2z
classic	kl'asIk
classy	kl'aasi
claw	kl'O:
claws	kl'O:z
clb	s,i:;,Elb'i:
clea	kl'i:
cleaa	kl'i:;@
clean	kl'i:n
cleaned	kl'i:nd
cleaner	kl'i:n3
cleaniness	kl'i:nIn@s
cleaning	kl'i:nIN
cleanliness	kl'EnlIn@s
clear	kl'i@3
clearasil	kl'i@3r-as@L
cleared	kl'i@3d
clearer	kl'i@3r-3
clearing	kl'i@3r-IN
clearly	kl'i@3li
clemmensen	kl'Em@ns@n
clendon	kl'End@n
clermont	kl'3:m0nt
cleveland	kl'i:vl@nd
clever	kl'Ev3
cleverr	kl'Ev3
click	kl'Ik
clicks	kl'Iks
clients	kl'aI@nts
cliff	kl'If
climate	kl'aIm@t
climaxed	kl'aImakst
climb	kl'aIm
climbeded	kl'aImEdI2d
climes	kl'aImz
clingly	kl'INli
clingy	kl'INi
clinicalswhich	kl'InIk,alswItS
clip	kl'Ip
clippers	kl'Ip3z
clips	kl'Ips
cliqshe	kl'IkS
clique	kl'i:k
cliques	kl'i:ks
clld	s,i:;,El,Eld'i:
cloae	kl'oU
clock	kl'0k
clockquot	kl'0kkw0t
clocks	kl'0ks
clone	kl'oUn
close	kl'oUs
closed	kl'oUzd
closeddoor	kl'oUsdo@
closeits	kl'oUsIts
closely	kl'oUslI
closer	kl'oUs3
closesr	kl'oUs@s3
closest	kl'oUs@st
closests	kl'oUs@sts
closet	kl'0zI2t
closewanna	kloUsw'an@
closingquot	kl'oUsINkw,0t
closure	kl'oUZ3
clotes	kl'oUts
cloth	kl'0T
clothed	kl'oUDd
clotheing	kl'oUDIN
clothes	kl'oUDz
clothing	kl'oUDIN
clothingshoejewlery	kl'oUDINS,u:dZu:l@ri
clothingshow	kl'oUDINS,oU
clothingwelldo	kl,oUDINw'EldoU
clothingwise	kl'oUDINw,aIz
cloud	kl'aUd
cloudless	kl'aUdl@s
cloudr	kl'aUd3
clouds	kl'aUdz
cloudy	kl'aUdi
clover	kl'oUv3
clown	kl'aUn
clowns	kl'aUnz
cloying	kl'OIIN
club	kl'Vb
clubbing	kl'VbIN
clubhead	kl'VbhEd
clubs	kl'Vbz
clue	kl'u:
cluee	kl'u:
cluei	kl'u:i
clusters	kl'Vst3z
cm	s,i:;'Em
cmnts	s,i:;,Em'Ent,i:;'Es
cmon	s'i:m'0n
cmonlets	s'i:m'0nl@ts
cn	s,i:;'En
cna	s,i:;,En'eI
cnd	s,i:;,End'i:
cnt	s,i:;,Ent'i:
co	k'oU
coarse	k'o@s
coaster	k'oUst3
coasters	k'oUst3z
cob	k'0b
coba	k'oUb@
cobain	k'oUbeIn
cobra	k'oUbr@
cobwebs	k'0bwEbz
cocacola	k,0ka#k'oUl@
cocaubcola	k,0k@bk'oUl@
cock	k'0k
cockroach	k'0kroUtS
cockroaches	k'0kroUtSI2z
cocks	k'0ks
cocktail	k'0kteIl
cocktails	k'0kteIlz
cocky	k'0ki
cockyness	k'0kin@s
coco	k'oUkoU
coconut	k'oUk@n,Vt
cod	k'0d
code	k'oUd
codes	k'oUdz
cody	k'oUdi
coffee	k'0fI
coffeequot	k'0fIkw,0t
cohoclate	k'oUh@kl,eIt
coincidence	koU'InsId@ns
coined	k'OInd
coke	k'oUk
colada	k@l'A:d@
colata	k@l'A:t@
colby	k'oUlbi
cold	k'oUld
coldd	k'oUldd
colder	k'oUld3
coldstone	k'oUldstoUn
cole	k'oUl
colee	k'oUli:
colgate	k'0lgeIt
colinies	k'0lInIz
collaborations	k@l,ab3r'eIS@nz
collage	k0l'A:Z
collar	k'0l3
collect	k@l'Ekt
collectaholic	k@l,Ekta#h'0lIk
collected	k@l'EktI2d
collecting	k@l'EktIN
collection	k@l'EkS@n
collections	k@l'EkS@nz
collector	k@l'Ekt3
college	k'0lI2dZ
collegecollegeto	k,0lI2dZ,Ek@lI2g'i:toU
collegequot	k'0lI2dZ,Ekw0t
colleges	k'0lI2dZI2z
collin	k'0lIn
cologne	k@l'oUn
colombia	k@l'Vmbi@
colombian	k@l'Vmbi@n
colombiano	k,0l@mb'i@noU
color	k'Vl3
colored	k'Vl3d
colorful	k'Vl3f@L
coloring	k'Vl3r-IN
colorits	k'Vl3r-,Its
colorlengththickness	k'Vl3l,ENTTIkn@s
colorp	k'Vl3p
colors	k'Vl3z
colour	k'Vl3
colourful	k'Vl3f@L
colourpx	k'Vl3:pks
colours	k'Vl3z
colton	k'oUlt@n
columbia	k@l'Vmbi@
columbian	k@l'Vmbi@n
columbine	k'0l@mb,aIn
columbus	k@l'Vmb@s
com	k'0m
comb	k'oUm
combination	k,0mbI2n'eIS@n
combine	k@mb'aIn
combo	k'0mboU
come	k'Vm
comeback	k'Vmbak
comebacks	k'Vmbaks
comedian	k@m'i:di@n
comedy	k'0m@di
comedymr	k'0m@d,Im3
comee	k@m'i:
comequot	k@m'Ekw0t
comer	k'Vm3
comercials	k@m'3:S@Lz
comes	k'Vmz
comestarting	k@m'EstA@tIN
comet	k'0mI2t
comfiest	k'VmfI;@st
comfort	k'Vmf3t
comfortable	k'Vmft@b@L
comfortably	k'Vmft@bli
comfortness	k'Vmf3tn@s
comforts	k'Vmf3ts
comfy	k'VmfI
comic	k'0mIk
comida	k'0mId@
coming	k'VmI2N
commando	k@m'andoU
commen	k'0m@n
comment	k'0mEnt
commented	k'0mEntI2d
commentr	k'0m@nt3
comments	k'0mEnts
commentubfpodruedais	k0m'Ent@bfp,0dru:d,aIz
commerce	k'0m3:s
commercial	k@m'3:S@L
commercials	k@m'3:S@Lz
commerical	k@m'ErIk@L
commericals	k@m'ErIk@Lz
commie	k'0mI
commier	k@m'i@3
comming	k'0mIN
commit	k@m'It
commiteted	k@m'aIti:tI2d
commiting	k@m'aItIN
commitment	k@m'Itm@nt
committed	k@m'ItI2d
common	k'0m@n
commonly	k'0m@nli
communicate	k@mj'u:nI2k,eIt
communication	k@mj,u:nIk'eIS@n
communicationhonestytrust	k@mj,u:nIk'eIS@n,0nIst,ItrVst
communications	k@mj,u:nIk'eIS@nz
community	k@mj'u:nI2t,i
como	k@m'oU
comp	k'0mp
companies	k'Vmp@nIz
company	k'Vmp@ni
comparan	k@mp'ar@n
compare	k@mp'e@
compared	k@mp'e@d
comparisment	k@mp'arIsm@nt
comparison	k@mp'arIs@n
comparisons	k@mp'arIs@nz
compass	k'Vmp@s
compassionate	k@mp'aS@n@t
compete	k@mp'i:t
competition	k,0mp@t'IS@n
competitors	k@mp'EtIt3z
complain	k@mpl'eIn
complained	k@mpl'eInd
complaines	k@mpl'eInz
complaining	k@mpl'eInIN
complaint	k@mpl'eInt
complaints	k@mpl'eInts
complection	k@mpl'EkS@n
complementing	k'0mplIm@ntIN
complete	k@mpl'i:t
completed	k@mpl'i:tI2d
completely	k@mpl'i:tli
completly	k@mpl'Etli
complicated	k'0mplI2k,eItI2d
compliment	k'0mplIm@nt
complimented	k'0mplIm@ntI2d
compliments	k'0mplIm@nts
compose	k@mp'oUz
compound	k'0mpaUnd
comprar	k@mpr'A@
comprehend	k,0mprIh'End
comprende	k@mpr'End
comprises	k@mpr'aIzI2z
comps	k'0mps
compton	k@mpt'0n
compu	k@mp'u:
computer	k@mpj'u:t3
computered	k@mpj'u:t3d
computerlaptop	k@mpj'u:t3l,apt0p
computers	k@mpj'u:t3z
con	k'0n
concealed	k@ns'i:ld
conceded	k@ns'i:dI2d
conceited	k@ns'i:tI2d
concentrate	k'0ns@ntr,eIt
concentrating	k'0ns@ntr,eItIN
concentration	k,0ns@ntr'eIS@n
concept	k'0nsEpt
concerened	k@ns'3:r@nd
concern	k@ns'3:n
concerned	k@ns'3:nd
concerns	k@ns'3:nz
concernz	k@ns'3:nts
concert	k'0ns3:t
concerts	k'0ns3:ts
conciously	k'0nS@sli
concited	k@ns'aItI2d
conclusion	k@nkl'u:Z@n
concret	k'0NkrI2t
concrete	k'0Nkri:t
condemned	k@nd'Emd
condescending	k,0ndI2s'EndIN
condiments	k'0ndIm@nts
condition	k@nd'IS@n
conditioner	k@nd'IS@n3
condom	k'0nd@m
condoms	k'0nd@mz
condomsbirthcontrol	k'0nd@msb,3:Tk@ntr,oUl
condomyes	k'0nd@m,aIz
condone	k@nd'oUn
confessed	k@nf'Est
confessing	k@nf'EsIN
confession	k@nf'ES@n
confidence	k'0nfId@ns
confident	k'0nfId@nt
confirm	k@nf'3:m
confirms	k@nf'3:mz
conform	k@nf'O@m
confornt	k@nf'o@nt
confront	k@nfr'Vnt
confrontation	k0nfr@nt'eIS@n
confronting	k@nfr'VntIN
confuse	k@nfj'u:z
confused	k@nfj'u:zd
confusedd	k@nfj'u:sEd
confusin	k@nfj'u:z@n
confusing	k@nfj'u:zIN
confussed	k@nf'Vst
congestion	k@ndZ'EstS@n
congrats	k@ngr'ats
congratulations	k@ngr'atSUl'eIS@nz
congratumalations	k@ngr'A:tju:ma#l'eIS@nz
congratz	k@ngr'ats
conmigo	k@nm'IgoU
conmigoquot	k@nm'Ig@kw,0t
connceiddedd	k@ns'i:dEd
connect	k@n'Ekt
connected	k@n'EktI2d
connection	k@n'EkS@n
connor	k'0n3
conocer	k@n'oUs3
conosco	k@n'0skoU
conscience	k'0nS@ns
conseded	k@ns'EdI2d
consent	k@ns'Ent
consenting	k@ns'EntIN
consentual	k@ns'EntSu:@L
consentuall	k@ns'EntSu:,O:l
consequences	k'0nsIkw@nsI2z
consider	k@ns'Id3
considerate	k@ns'Id3r-@t
considerater	k@ns'Id3r-,eIt3
considered	k@ns'Id3d
considering	k@ns'Id3r-IN
considr	k@ns'Id3
consiquences	k@ns'Ikw@nsI2z
consist	k@ns'Ist
consisted	k@ns'IstI2d
consistently	k@ns'Ist@ntli
consoles	k'0nsoUlz
conspiracy	k@nsp'Ir@si
constant	k'0nst@nt
constantly	k'0nst@ntli
constiotion	k0nstI2;'oUS@n
constitution	k,0nstItj'u:S@n
constraint	k@nstr'eInt
consume	k@ns'u:m
contact	k'0ntakt
contacts	k'0ntakts
contagious	k@nt'eIdZ@s
contain	k@nt'eIn
contained	k@nt'eInd
contains	k@nt'eInz
contaminated	k@nt'amI2n,eItI2d
contemplate	k'0ntI2mpl,eIt
contemplating	k'0ntI2mpl,eItIN
content	k'0ntEnt
contest	k'0ntEst
context	k'0ntEkst
contintue	k@nt'Intju:
continual	k@nt'Inju:@L
continually	k@nt'Inju:@Li
continue	k@nt'Inju:
continued	k@nt'Inju:d
continues	k@nt'Inju:z
continuing	k@nt'Inju:IN
continuously	k@nt'Inju:@sli
contra	k'0ntr@
contract	k'0ntrakt
contracted	k@ntr'aktI2d
contradictory	k,0ntr@d'Ikt@r,i
contrast	k'0ntraast
contribute	k'0ntrIbj,u:t
contributed	k'0ntrIbj,u:tI2d
contributing	k'0ntrIbj,u:tIN
control	k@ntr'oUl
controll	k@ntr'oUl
controlled	k@ntr'oUld
controlling	k@ntr'oUlIN
controlr	k@ntr'oUl3
controls	k@ntr'oUlz
controversial	k,0ntr@v'3:S@L
conversate	k@nv'3:seIt
conversating	k@nv'3:seItIN
conversation	k0nv@s'eIS@n
conversations	k0nv@s'eIS@nz
conversationthen	k0nv@s'eIS@nD@n
converse	k'0nv3:s
conversion	k@nv'3:S@n
convert	k@nv'3:t
convienience	k@nv'i@ni@ns
convince	k@nv'Ins
convo	k@nv'oU
convos	k@nv'oUz
convosation	k0nv@s'eIS@n
coo	k'u:
cooch	k'u:tS
cook	k'Uk
cooked	k'Ukt
cookfreddie	k'UkfrEdi
cookie	k'Uki
cookiegina	k'UkIdZ,aIn@
cookieman	k'UkIm@n
cookies	k'UkIz
cookiewise	k'Ukju:,aIz
cooking	k'UkIN
cooks	k'Uks
cool	k'u:l
coolamphot	k'u:la#mf,0t
cooler	k'u:l3
cooless	k'u:l@s
coolest	k'u:l@st
coolestbiggest	k'u:lI2stb,Ig@st
coolies	k'u:liz
cooling	k'u:lIN
coolio	k'u:lI2;,oU
cooll	k'u:l
coolokay	k'u:l@k,eI
coolquot	k'u:lkw0t
coolr	k'u:l3
cools	k'u:lz
coolz	k'u:lz
coon	k'u:n
coowner	k'u:wn3
cop	k'0p
cope	k'oUp
copied	k'0pId
copiers	k'0pi@3z
coppying	k'0pI;IN
cops	k'0ps
copy	k'0pI
copying	k'0pI;IN
copypaste	k'0pIp,eIst
coral	k'0r@L
coralreef	k'0ra#lr,i:f
corcoran	k'O@ko@r@n
cord	k'o@d
cordial	k'O@dI2;@l
cords	k'o@dz
corn	k'O@n
cornball	k'O@nbO:l
cornd	k'o@nd
corndog	k'O@nd0g
corner	k'O@n3
cornered	k'O@n3d
corners	k'O@n3z
corniest	k'O@nI;@st
corny	k'O@ni
corona	k@r'oUn@
coronas	k@r'oUn@z
corpsewhat	k'O@psju:h,at
corral	k@r'al
correct	k@r'Ekt
correction	k@r'EkS@n
correctionsexits	k@r'EkS@ns,EksIts
corrupt	k@r'Vpt
corruptness	k@r'Vptn@s
corset	k'O@sEt
cortex	k'O@tEks
corvette	kO@v'Et
cory	k'O@r-i
cos	k'0s
cosa	k'oUs@
cosgrove	k'0sgroUv
cosier	k'oUzI;3
cost	k'0st
costed	k'0stI2d
costing	k'0stIN
costs	k'0sts
costumes	k'0stju:mz
cosy	k'oUzi
cottage	k'0tI2dZ
cotton	k'0t@n
couch	k'aUtS
couches	k'aUtSI2z
cougar	k'u:g3
cough	k'0f
coughcough	k'0fk0f
could	k'Ud
couldaa	k'UdA:
couldd	k'Ud
couldlaugh	k'Udlaaf
couldnapost	k'Udna#p,0st
couldnt	k'Udnt
couldntt	k'Udnt
couldnut	k'UdnVt
counrty	k'aUn@ti
counselor	k'aUnsEl3
counsiling	k'aUnsaIlIN
count	k'aUnt
counted	k'aUntI2d
counting	k'aUntIN
countless	k'aUntl@s
countr	k'Vnt3
countries	k'VntrIz
countrieswell	k'VntrIsw,El
country	k'Vntri
countrys	k'VntrIz
counts	k'aUnts
county	k'aUnti
couple	k'Vp@L
couples	k'Vp@Lz
coupon	k'u:p0n
couric	k'3:r-Ik
courrsee	k'3:r-@s,i:
course	k'o@s
coursee	k'o@si:
coursework	k'o@sw3:k
courseyoure	k'o@saI,3:
court	k'o@t
courtney	k'o@tnI
courts	k'o@ts
coury	k'3:r-i
cousin	k'Vz@n
cousins	k'Vz@nz
cover	k'Vv3
coverage	k'Vv3r-I2dZ
covered	k'Vv3d
covers	k'Vv3z
cow	k'aU
cowboy	k'aUbOI
cowell	k'aUEl
coweradly	k'aU3r,adli
cowgirl	k'aUg3:l
coworker	k'oUw3:k3
cows	k'aUz
cowtipping	k'aUtIpIN
coy	k'OI
coz	k'0z
cpr	s,i:p,i:;'A@
cr	s,i:;'A@
crab	kr'ab
crabbybossy	kr'abIb,0si
crack	kr'ak
cracked	kr'akt
crackers	kr'ak3z
crackhead	kr'akhEd
crackin	kr'akIn
cracking	kr'akIN
crackinn	kr'akIn
crackkinn	kr'akkIn
cracks	kr'aks
cradle	kr'eId@L
crah	kr'A:
cranberry	kr'anb3ri
crap	kr'ap
crapfest	kr'apf@st
crappy	kr'api
crash	kr'aS
crashed	kr'aSt
crashing	kr'aSIN
crave	kr'eIv
craving	kr'eIvIN
crawl	kr'O:l
crawled	kr'O:ld
crawling	kr'O:lIN
crawls	kr'O:lz
crayola	kreI'oUl@
crayon	kr'eI0n
crayons	kr'eI0nz
craze	kr'eIz
crazi	kr'eIzi
crazies	kr'eIzIz
craziest	kr'eIzI;@st
crazii	kr'eIzI;,aI
crazily	kr'eIzIlI
crazy	kr'eIzi
crazybc	kr'eIzIbk
crazyness	kr'eIzIn@s
crazyy	kr'eIzI;i
crazzii	kr'azI;,aI
crazzy	kr'azi
crazzyy	kr'azI;i
crcodiles	s,i:;'A@k'0daIlz
cream	kr'i:m
creamo	kr'i:moU
creamr	kr'i:m3
creams	kr'i:mz
creaped	kr'i:pt
create	kri:;'eIt
created	kri:;'eItI2d
creates	kri:;'eIts
creating	kri:;'eItIN
creation	kri:;'eIS@n
creativa	kri:;'eItIv@
creative	kri:;'eItIv
creatively	kri:;'eItIvli
creativeone	kri:;'eItIvI2;,oUn
creativequot	kri:;'eItIv,Ekw0t
creativity	kri:;,eIt'IvI2ti
creator	kri:;'eIt3
creature	kr'i:tS3
creatures	kr'i:tS3z
creaturesquot	kri:;'eItS@r,Eskw0t
credit	kr'EdIt
credits	kr'EdIts
creek	kr'i:k
creep	kr'i:p
creeped	kr'i:pt
creepersquot	kr'i:p3skw,0t
creepiest	kr'i:pI;@st
creeping	kr'i:pIN
creeppyy	kr'i:pI;i
creeps	kr'i:ps
creepy	kr'i:pi
creida	kr'eId@
cremated	krI2m'eItI2d
creme	kr'i:m
creo	kr'i:;oU
crew	kr'u:
crewr	kr'u:3
crhworugfwuhkcbsefb	s,i:;,A@r-'eItSw'o@r@gfw,u:kkbsEfb
cribs	kr'Ibz
cricket	kr'IkI2t
crickets	kr'IkI2ts
cried	kr'aId
cries	kr'aIz
crime	kr'aIm
crimes	kr'aImz
criminal	kr'ImIn@L
cripple	kr'Ip@L
crippled	kr'Ip@Ld
cris	kr'Is
crisis	kr'aIsIs
crisp	kr'Isp
crisps	kr'Isps
crispy	kr'Ispi
cristal	kr'Ist@L
cristina	krIst'i:n@
critical	kr'ItIk@L
criticism	kr'ItIs,Iz@m
criticize	kr'ItIs,aIz
crmd	s,i:;,A@r-,Emd'i:
crndq	s,i:;,A@r-'End,i:kj'u:
crocodile	kr'0k@d,aIl
crocodiles	kr'0k@d,aIlz
crocs	kr'0ks
cronella	kroUn'El@
cronulla	kr'0nVl@
crop	kr'0p
cross	kr'0s
crosses	kr'0sI2z
crosseyed	kr'0sId
crow	kr'oU
crowd	kr'aUd
crowded	kr'aUdI2d
crowds	kr'aUdz
croweded	kr'oUEdI2d
crown	kr'aUn
cru	kr'u:
cruch	kr'VtS
crude	kr'u:d
cruel	kr'u:@l
cruise	kr'u:z
crule	kr'u:l
crumble	kr'Vmb@L
crumbs	kr'Vmz
crumple	kr'Vmp@L
crunchyorr	kr'VntSI;,o@
crus	kr'u:z
crush	kr'VS
crushes	kr'VSI2z
crushgfbf	kr'VSgfbf
crushing	kr'VSIN
crushs	kr'VSz
crust	kr'Vst
crusty	kr'Vsti
crutons	kr'u:t@nz
cruz	kr'u:z
cruzie	kr'u:zi
crx	s,i:;,A@r-'Eks
cry	kr'aI
cryed	kr'aId
crying	kr'aIIN
crys	kr'aIz
crzy	s,i:;,A@z,Edw'aI
csi	s,i:;,Es'aI
ctown	s'i:t'aUn
cttq	s,i:t,i:t,i:kj'u:
cual	kj'u:@L
cubes	kj'u:bz
cubing	kj'u:bIN
cucumber	kj'u:kVmb3
cucumbers	kj'u:kVmb3z
cud	k'Vd
cuddle	k'Vd@L
cuddled	k'Vd@Ld
cuddler	k'Vdl3
cuddles	k'Vd@Lz
cuddling	k'VdlIN
cuddly	k'Vdli
cuente	kw'EnteI
cuerpo	kj'u:@p,oU
cuff	k'Vf
cuffs	k'Vfs
cuhh	k'u:
cuhss	k'u:s
cuhz	k'u:z
cuisine	kwI2z'i:n
culbertson	k'Vlb3ts@n
culd	k'Vld
culinary	kj'UlIn@ri
cullens	k'Vl@nz
culture	k'VltS3
cum	k'Vm
cumm	k'Vm
cummin	k'VmIn
cumming	k'VmIN
cumnn	k'Vmn
cumputa	k'Vmpju:t@
cumputer	k'Vmpju:t3
cunt	k'Vnt
cuntr	k'Vnt3
cunts	k'Vnts
cuold	kw'oUld
cup	k'Vp
cupboard	k'Vb@d
cupcake	k'VpkeIk
cupo	kj'u:poU
cups	k'Vps
cure	kj'U@
cured	kj'U@d
curios	kj'UrI2;,oUz
curiosita	kj,UrI2;@s'i:t@
curiosity	kj,UrI2;'0sI2ti
curioues	kj'UrI2;,aUz
curious	kj'UrI2;@s
curl	k'3:l
curlers	k'3:l3z
curling	k'3:lIN
curly	k'3:li
currency	k'Vr@nsi
current	k'Vr@nt
currently	k'Vr@ntli
currentlyr	k'VrEntl@
curry	k'Vri
curse	k'3:s
cursed	k'3:sd
curses	k'3:sI2z
cursing	k'3:sIN
curtain	k'3:t@n
curtains	k'3:t@nz
curves	k'3:vz
cus	k'Vs
cuss	k'Vs
cussed	k'Vst
custody	k'Vst@di
customer	k'Vst@m3
customers	k'Vst@m3z
cut	k'Vt
cute	kj'u:t
cuteand	kj'u:ti:nd
cutee	kj'u:ti:
cuteness	kj'u:tn@s
cuter	kj'u:t3
cutesied	kj'u:t@sId
cutest	kj'u:t@st
cutey	kj'u:tI
cutie	kj'u:ti
cutiee	kj'u:tI
cutier	kj'u:tI;3
cutoffs	k'Vt0fs
cuts	k'Vts
cutte	k'Vt
cuttie	k'Vti
cutting	k'VtIN
cuttrimmed	k'VtrImd
cuute	k'Vju:t
cuz	k'Vz
cuzz	k'Vz
cuzzin	k'VzIn
cvs	s,i:v,i:;'Es
cya	s'aI@
cyber	s'aIb3
cyberbullying	s'aIb3b,UlI;IN
cyberfuck	s'aIb3f,Vk
cyberfucks	s'aIb3f,Vks
cybersex	s'aIb3s,Eks
cycle	s'aIk@L
cycronis	sIkr'oUniz
cymbal	s'Imb@L
cyndaquil	s'Inda#kw,Il
cyprus	s'aIpr@s
cyrus	s'aIr@s
cystal	s'Ist@L
d	d'i:
da	d'A:
dad	d'ad
daddy	d'adi
daddyaposs	d'adI;,ap0s
daddys	d'adIz
daddyy	d'adI;i
dads	d'adz
dahh	d'A:
daht	d'A:t
daily	d'eIli
daiquiri	deIkw'i@ri
daiquiris	d'eIkwIr,Is
dairy	d'e@r-i
daisys	d'eIzIz
dakota	da#k'oUt@
dakotah	d'ak0t@
dakotahs	d'ak0t@z
daks	d'aks
dale	d'eIl
dalee	d'ali:
dallas	d'al@s
dalmatians	dalm'eIS@nz
dam	d'am
damage	d'amI2dZ
damit	d'eImIt
dammit	d'amIt
damn	d'am
damnit	d'amnIt
damnn	d'amn
damper	d'amp3
dan	d'an
dance	d'aans
danced	d'aanst
dancedisplay	d'aansI2d,IspleI
dancer	d'aans3
dances	d'aansI2z
dancing	d'aansIN
dancingg	d'aansINg
dancingr	d'aansINg3
dandruff	d'andrVf
dane	d'eIn
dang	d'aN
dangalang	d'aNga#l,aN
danger	d'eIndZ3
dangerous	d'eIndZ@r@s
dangerousunpredictable	d,eIndZ@r,aUs@nprI2d'Ikt@b@L
dangi	d'aNgi
dani	d'ani
danica	d'anIk@
daniela	d,ani;'El@
daniels	d'anj@Lz
danish	d'eInIS
danit	d'anIt
danng	d'anN
dannies	d'anIz
danqq	d'ank
dare	d'e@
dared	d'e@d
dares	d'e@z
daring	d'e@r-I2N
dark	d'A@k
darker	d'A@k3
darkest	d'A@k@st
darkness	d'A@kn@s
darko	d'A@koU
darlin	d'A@lIn
darling	d'A@lIN
darn	d'A@n
dart	d'A@t
darting	d'A@tIN
das	d'as
dash	d'aS
dat	d'at
date	d'eIt
dated	d'eItI2d
datedd	d'eIt@d
dateing	d'eItIN
datemarry	d'eItmari
datequot	d'eItkw0t
dater	d'eIt3
dates	d'eIts
datewise	d'eItwaIz
dating	d'eItIN
datingr	d'EtINg3
datlet	d'atl@t
dats	d'ats
datted	d'atI2d
datz	d'ats
daughter	d'O:t3
daughters	d'O:t3z
daumn	d'O:m
davey	d'eIvi
david	d'eIvId
davidd	d'eIvId
davinci	dav'InsaI
davis	d'eIvIs
davisr	d'avIs3
daviss	d'avIs
dawg	d'O:g
dawn	d'O:n
dawq	d'O:k
day	d'eI
daydream	d'eIdri:m
daydreaming	d'eIdri:mIN
daydrien	d'eIdri@n
dayi	d'eIi
daylight	d'eIlaIt
days	d'eIz
daysomehow	d'eIsoUmh,aU
dayss	d'eIs
daysz	d'eIsz
daythere	d'eID3
daytime	d'eItaIm
dayumm	d'eIVm
dayummn	d'eIVm@n
dayym	d'eIIm
dayz	d'eIz
daz	d'az
daze	d'eIz
dazed	d'eIzd
db	d,i:b'i:
dc	d,i:s'i:
dck	d,i:s,i:k'eI
dd	d,i:d'i:
ddr	d,i:d,i:;'A@
de	d'@
dea	d'i:
deactivate	di:;'aktI2v,eIt
deactivated	di:;'aktI2v,eItI2d
deactived	di:;'aktIvd
dead	d'Ed
deadbeat	d'Edbi:t
deadly	d'Edli
deaf	d'Ef
deal	d'i:l
dealer	d'i:l3
dealers	d'i:l3z
dealing	d'i:lIN
deall	d'i:l
dealt	d'Elt
dean	d'i:n
deannaa	d'i:nA:
deans	d'i:nz
dear	d'i@3
dearest	d'i@3r-@st
death	d'ET
deathly	d'ETli
debatable	dI2b'eIt@b@L
debate	dI2b'eIt
debates	dI2b'eIts
debating	dI2b'eItIN
debrorah	d'Ebro@r@
debt	d'Et
debts	d'Ets
decade	d'EkeId
december	dI2s'Emb3
decendes	dI2s'Endz
decent	d'i:s@nt
decide	dI2s'aId
decided	dI2s'aIdI2d
decides	dI2s'aIdz
deciding	dI2s'aIdIN
decir	dI2s'i@3
decision	dI2s'IZ@n
decisions	dI2s'IZ@nz
decissions	dI2s'IS@nz
deck	d'Ek
decleration	dI2kl@r'eIS@n
decline	dI2kl'aIn
decomposeimagine	d,i:k@mp'oUsIm,adZIn
decorated	d'Ek3r,eItI2d
decorating	d'Ek3r,eItIN
decsion	dI2kS'@n
dedicate	d'EdI2k,eIt
dee	d'i:
deed	d'i:d
deeds	d'i:dz
deem	d'i:m
deep	d'i:p
deeper	d'i:p3
deepest	d'i:p@st
deepsea	d'i:psi:
deer	d'i@3
def	d'Ef
default	dI2f'0lt
defeats	dI2f'i:ts
defect	d'i:fEkt
defend	dI2f'End
defendd	dI2f'End
defense	dI2f'Ens
defensive	dI2f'EnsIv
deff	d'Ef
deffently	dI2f'Entli
deffinately	dI2fI2n'eItli
deffinatly	dI2f'aInatli
deffo	dI2f'oU
definantly	dI2f'aIn@ntli
definately	dI2fI2n'eItli
define	dI2f'aIn
defined	dI2f'aInd
definetally	dI2f'aInt@Li
definetly	dI2f'InEtli
definitely	d'EfIn@tli
definition	d,EfIn'IS@n
definitivamente	d'EfIn,ItIv@m@nt
degrade	dI2gr'eId
degrades	dI2gr'eIdz
degrading	dI2gr'eIdIN
degrassi	dI2gr'aasi
degree	dI2gr'i:
degrees	dI2gr'i:z
dehydration	d,i:haIdr'eIS@n
dei	d'eI
deiiferent	d'eIIfr@nt
dej	d'I2dZ
deja	d'eIZA:
dejas	dI2dZ'az
dejo	dI2dZ'oU
del	d'El
delabel	dI2l'eIb@L
delay	dI2l'eI
delayed	dI2l'eId
deleated	dI2l'i:tI2d
delete	dI2l'i:t
deleted	dI2l'i:tI2d
deleteing	dI2l'i:tI2N
deleter	dI2l'Et3
deletes	dI2l'i:ts
deleting	dI2l'i:tIN
deliberately	dI2l'Ib3r@tli
delicious	dI2l'IS@s
deliciousness	dI2l'IS@sn@s
deliver	dI2l'Iv3
delivery	dI2l'Iv@ri
delusional	dI2l'u:Z@n@L
dem	d'Em
demand	dI2m'aand
demanding	dI2m'aandIN
demasiados	dI2m'eIsI;'A:doUz
demi	d'Emi
democracy	dI2m'0kr@si
demolished	dI2m'0lISt
demon	d'i:m@n
demons	d'i:m@nz
